treatment_type,cost,state,clinic,provider_type,source,url,scraped_date,region,age_range
CONSULTATION,362.5,CO,CCRM Fertility,Private_Clinic,CCRM Website,https://www.ccrmivf.com/resources/fertility-financing-options/ivf-cost/,2025-12-07T15:27:53.708152,,all
IVF_FRESH,17465.0,CO,CCRM Fertility,Private_Clinic,CCRM Website,https://www.ccrmivf.com/resources/fertility-financing-options/ivf-cost/,2025-12-07T15:27:53.708199,,all
IVF_FRESH,16835.0,CO,CCRM Fertility,Private_Clinic,CCRM Website,https://www.ccrmivf.com/resources/fertility-financing-options/ivf-cost/,2025-12-07T15:27:53.708221,,all
IVF_FRESH,20525.0,CO,CCRM Fertility,Private_Clinic,CCRM Website,https://www.ccrmivf.com/resources/fertility-financing-options/ivf-cost/,2025-12-07T15:27:53.708239,,all
FET,5635.0,CO,CCRM Fertility,Private_Clinic,CCRM Website,https://www.ccrmivf.com/resources/fertility-financing-options/ivf-cost/,2025-12-07T15:27:53.708260,,all
IVF_FRESH,3995.0,NY,CNY Fertility,Community_Clinic,CNY Website (Published Prices),https://www.cnyfertility.com/ivf-cost/,2025-12-07T15:27:56.456641,northeast,all
FET,495.0,NY,CNY Fertility,Community_Clinic,CNY Website (Published Prices),https://www.cnyfertility.com/ivf-cost/,2025-12-07T15:27:56.456676,northeast,all
IUI,695.0,NY,CNY Fertility,Community_Clinic,CNY Website (Published Prices),https://www.cnyfertility.com/ivf-cost/,2025-12-07T15:27:56.456678,northeast,all
MONITORING,295.0,NY,CNY Fertility,Community_Clinic,CNY Website (Published Prices),https://www.cnyfertility.com/ivf-cost/,2025-12-07T15:27:56.456680,northeast,all
MEDICATIONS_IVF,4500.0,NY,CNY Fertility,Community_Clinic,CNY Website (Published Prices),https://www.cnyfertility.com/ivf-cost/,2025-12-07T15:27:56.456681,northeast,all
CONSULTATION,95.0,NY,CNY Fertility,Community_Clinic,CNY Website (Published Prices),https://www.cnyfertility.com/ivf-cost/,2025-12-07T15:27:56.456683,northeast,all
IVF_FRESH,19500.0,NY,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461754,northeast,all
FET,6800.0,NY,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461779,northeast,all
IUI,1450.0,NY,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461786,northeast,all
CONSULTATION,425.0,NY,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461791,northeast,all
ULTRASOUND_MONITORING,385.0,NY,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461807,northeast,all
BLOOD_WORK,220.0,NY,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461811,northeast,all
IVF_FRESH,21000.0,CA,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461818,west_coast,all
FET,7200.0,CA,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461822,west_coast,all
IUI,1600.0,CA,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461826,west_coast,all
CONSULTATION,475.0,CA,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461830,west_coast,all
ULTRASOUND_MONITORING,410.0,CA,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461834,west_coast,all
BLOOD_WORK,240.0,CA,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461838,west_coast,all
IVF_FRESH,16500.0,TX,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461843,south,all
FET,5500.0,TX,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461847,south,all
IUI,1250.0,TX,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461852,south,all
CONSULTATION,350.0,TX,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461856,south,all
ULTRASOUND_MONITORING,310.0,TX,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461859,south,all
BLOOD_WORK,185.0,TX,Market Average,Average,FairHealth 2024 Report,https://www.fairhealth.org/states-by-the-numbers,2025-12-07T15:27:58.461863,south,all
IVF_FRESH,19674.38,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463226,northeast,all
IVF_FRESH,19274.66,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463278,northeast,all
IVF_FRESH,17297.96,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463308,northeast,all
IVF_FRESH,18794.08,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463337,northeast,all
IVF_FRESH,21495.9,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463364,northeast,all
IVF_FRESH,18564.17,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463389,northeast,all
IVF_FRESH,21260.22,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463413,northeast,all
IVF_FRESH,20823.61,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463437,northeast,all
IVF_FRESH,24338.8,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463460,northeast,all
IVF_FRESH,21941.3,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463491,northeast,all
IVF_with_ICSI,18025.66,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463521,northeast,all
IVF_with_ICSI,21476.23,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463548,northeast,all
IVF_with_ICSI,17860.31,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463573,northeast,all
IVF_with_ICSI,22743.59,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463600,northeast,all
IVF_with_ICSI,21025.25,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463624,northeast,all
IVF_with_ICSI,20161.59,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463647,northeast,all
IVF_with_ICSI,22668.81,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463670,northeast,all
IVF_with_ICSI,25631.78,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463692,northeast,all
IVF_with_ICSI,24500.29,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463717,northeast,all
IVF_with_ICSI,29262.7,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463742,northeast,all
IVF_with_PGT,20838.71,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463768,northeast,all
IVF_with_PGT,21621.16,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463790,northeast,all
IVF_with_PGT,22229.11,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463814,northeast,all
IVF_with_PGT,23311.87,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463839,northeast,all
IVF_with_PGT,23177.36,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463866,northeast,all
